Configuration File: cfg/cfg3_randreset_set1.cfg

Result Log

Run 1
150	1.140	4	0.100	1	
250	1.260	4	0.160	1	
350	1.500	4	0.180	1	
450	1.940	4	0.220	1	
550	2.080	4	0.220	1	
650	2.380	4	0.180	1	
750	2.540	4	0.180	1	
850	2.620	4	0.160	1	
950	2.680	4	0.160	1	
1050	2.960	4	0.180	1	
1150	3.060	4	0.160	1	
1250	3.140	4	0.140	1	
1350	3.140	5	0.240	1	
1450	3.220	6	0.280	1	
1550	3.240	6	0.320	1	
1650	3.240	6	0.340	1	
1750	3.280	6	0.340	1	
1850	3.340	6	0.360	1	
1950	3.440	6	0.360	1	
2050	3.400	6	0.440	1	
2150	3.260	6	0.500	1	
2250	3.660	6	0.380	1	
2350	3.760	6	0.400	1	
2450	3.940	6	0.400	1	
2550	4.000	6	0.420	1	
2650	4.060	6	0.480	1	
2750	4.220	6	0.460	1	
2850	4.220	6	0.480	1	
2950	4.220	6	0.480	1	
3050	4.280	6	0.580	1	
3150	4.760	6	0.380	1	
3250	4.880	6	0.360	1	
3350	4.740	8	0.500	1	
3450	4.700	8	0.540	1	
3550	4.740	9	0.580	1	
3650	4.860	9	0.580	1	
3750	5.260	9	0.540	1	
3850	5.400	9	0.560	1	
3950	5.340	9	0.600	1	
4050	5.300	9	0.640	1	
4150	5.280	9	0.700	1	
4250	5.480	9	0.660	1	
4350	5.660	9	0.600	1	
4450	5.580	9	0.680	1	
4550	5.660	9	0.700	1	
4650	5.620	9	0.720	1	
4750	5.660	9	0.720	1	
4850	5.760	9	0.700	1	
4950	5.800	9	0.700	1	
5050	5.900	9	0.700	1	
5150	6.260	9	0.680	1	
5250	6.380	9	0.680	1	
5350	6.480	9	0.700	2	
5450	6.460	9	0.740	2	
5550	6.640	9	0.700	2	
5650	6.740	9	0.680	2	
5750	6.840	9	0.660	2	
5850	6.960	9	0.680	2	
5950	6.980	9	0.680	2	
6050	7.060	9	0.700	3	
6150	7.340	9	0.700	3	
6250	7.420	9	0.760	3	
6350	7.420	9	0.800	3	
6450	7.540	9	0.740	3	
6550	7.680	11	0.760	3	
6650	7.700	11	0.800	3	
6750	7.680	11	0.860	3	
6850	7.980	11	0.840	3	
6950	8.000	11	0.840	3	
7050	8.020	11	0.860	3	
7150	8.140	11	0.820	3	
7250	8.240	11	0.800	3	
7350	8.360	11	0.800	3	
7450	8.320	11	0.820	3	
7550	8.360	11	0.880	3	
7650	8.340	11	0.900	3	
7750	8.340	11	0.900	3	
7850	8.300	11	0.940	3	
7950	8.320	11	0.940	3	
8050	8.320	11	0.940	3	
8150	8.300	11	0.960	3	
8250	8.300	11	0.960	3	
8350	8.280	11	0.980	3	
8450	8.280	11	0.980	3	
8550	8.280	11	0.980	3	
8650	8.120	11	1.000	3	
8750	8.120	11	1.000	3	
8850	8.080	11	1.020	3	
8950	8.320	11	1.000	3	
9050	8.400	11	0.980	3	
9150	8.400	11	0.980	3	
9250	8.400	11	0.980	3	
9350	8.400	11	1.000	3	
9450	8.400	11	1.060	3	
9550	8.400	11	1.060	3	
9650	8.400	11	1.060	3	
9750	8.400	11	1.060	3	
9850	8.400	11	1.080	3	
9950	8.260	11	1.100	3	
10050	8.400	11	1.080	3	

Run 2
150	1.300	3	0.000	0	
250	1.360	3	0.020	1	
350	1.700	4	0.020	1	
450	2.180	6	0.020	1	
550	2.480	6	0.040	1	
650	2.640	6	0.100	1	
750	2.800	6	0.120	1	
850	2.980	6	0.120	1	
950	3.040	6	0.140	1	
1050	3.200	6	0.160	1	
1150	3.280	6	0.160	1	
1250	3.400	6	0.160	1	
1350	3.480	6	0.220	1	
1450	3.480	6	0.260	1	
1550	3.520	6	0.280	1	
1650	3.620	6	0.280	1	
1750	3.800	6	0.280	1	
1850	4.100	6	0.200	1	
1950	4.360	6	0.140	1	
2050	4.440	6	0.160	1	
2150	4.520	6	0.180	1	
2250	4.560	6	0.180	1	
2350	4.620	6	0.200	1	
2450	4.620	6	0.220	1	
2550	4.660	6	0.220	1	
2650	4.680	6	0.220	1	
2750	4.700	6	0.220	1	
2850	4.700	6	0.220	1	
2950	4.760	7	0.220	1	
3050	4.860	7	0.220	1	
3150	5.060	7	0.160	1	
3250	5.140	8	0.180	1	
3350	5.140	8	0.180	1	
3450	5.140	8	0.180	1	
3550	5.140	8	0.180	1	
3650	5.000	8	0.240	2	
3750	5.020	8	0.240	2	
3850	4.960	8	0.260	2	
3950	4.980	8	0.260	2	
4050	4.980	8	0.280	2	
4150	5.040	8	0.260	2	
4250	5.020	8	0.280	2	
4350	5.040	8	0.280	2	
4450	5.060	8	0.280	2	
4550	5.060	8	0.280	2	
4650	5.060	8	0.280	2	
4750	5.100	8	0.280	2	
4850	5.140	8	0.280	2	
4950	5.140	8	0.280	2	
5050	5.180	8	0.280	2	
5150	5.380	8	0.200	2	
5250	5.380	8	0.240	2	
5350	5.380	8	0.280	2	
5450	5.380	8	0.320	2	
5550	5.380	8	0.380	2	
5650	5.380	8	0.380	2	
5750	5.380	8	0.380	2	
5850	5.380	8	0.380	2	
5950	5.380	8	0.380	2	
6050	5.380	8	0.380	2	
6150	5.380	8	0.380	2	
6250	5.440	8	0.380	2	
6350	5.440	8	0.380	2	
6450	5.460	8	0.380	2	
6550	5.640	8	0.380	2	
6650	5.740	8	0.380	2	
6750	5.920	9	0.360	2	
6850	6.100	9	0.300	2	
6950	6.100	9	0.320	2	
7050	6.160	9	0.300	2	
7150	6.240	10	0.300	2	
7250	6.260	10	0.300	2	
7350	6.260	10	0.320	2	
7450	6.260	10	0.320	2	
7550	6.280	10	0.320	2	
7650	6.280	10	0.320	2	
7750	6.300	10	0.320	2	
7850	6.300	10	0.320	2	
7950	6.300	10	0.320	2	
8050	6.300	10	0.320	2	
8150	6.300	10	0.320	2	
8250	6.400	10	0.320	2	
8350	6.420	10	0.320	2	
8450	6.420	10	0.320	2	
8550	6.420	10	0.320	2	
8650	6.420	10	0.320	2	
8750	6.440	10	0.320	2	
8850	6.420	10	0.340	2	
8950	6.500	10	0.340	2	
9050	6.460	10	0.380	2	
9150	6.460	10	0.420	2	
9250	6.920	10	0.240	2	
9350	6.940	10	0.260	2	
9450	6.880	10	0.280	2	
9550	6.920	10	0.280	2	
9650	6.940	10	0.280	2	
9750	7.040	10	0.300	2	
9850	7.080	10	0.300	2	
9950	7.120	10	0.280	2	
10050	7.060	10	0.340	2	

Run 3
150	1.660	5	0.080	1	
250	1.820	5	0.100	1	
350	1.940	5	0.160	1	
450	2.020	5	0.200	1	
550	2.280	5	0.200	1	
650	2.480	5	0.240	1	
750	2.580	5	0.280	1	
850	2.820	5	0.320	1	
950	3.100	5	0.300	1	
1050	3.020	6	0.460	1	
1150	3.280	6	0.500	1	
1250	3.420	7	0.480	1	
1350	3.480	7	0.500	1	
1450	3.560	7	0.520	1	
1550	3.680	7	0.500	1	
1650	3.780	7	0.480	1	
1750	4.220	7	0.340	2	
1850	4.240	7	0.420	2	
1950	4.220	7	0.480	2	
2050	4.220	7	0.480	2	
2150	4.280	7	0.480	2	
2250	4.260	7	0.520	2	
2350	4.300	7	0.560	2	
2450	4.900	7	0.320	2	
2550	4.920	7	0.340	2	
2650	4.820	8	0.520	2	
2750	4.900	8	0.520	2	
2850	4.900	8	0.520	2	
2950	4.920	8	0.540	2	
3050	4.940	8	0.540	2	
3150	4.940	8	0.560	2	
3250	4.940	8	0.560	2	
3350	4.940	8	0.560	2	
3450	4.940	8	0.560	2	
3550	4.940	8	0.560	2	
3650	4.940	8	0.580	2	
3750	4.980	8	0.580	2	
3850	5.020	8	0.580	2	
3950	4.760	8	0.700	2	
4050	4.760	8	0.720	2	
4150	4.680	8	0.760	2	
4250	4.660	8	0.780	2	
4350	4.600	8	0.820	2	
