Configuration File: cfg/cfg2_no_mutation_set1.cfg

Result Log

Run 1
150	1.560	4	0.020	1	
250	1.900	4	0.060	1	
350	2.340	6	0.080	1	
450	2.720	7	0.100	1	
550	3.040	7	0.100	1	
650	3.260	7	0.140	1	
750	3.400	7	0.160	1	
850	3.840	7	0.220	1	
950	4.080	8	0.260	1	
1050	4.260	8	0.320	1	
1150	4.520	8	0.320	1	
1250	4.980	8	0.280	1	
1350	5.440	8	0.300	1	
1450	5.600	8	0.320	1	
1550	5.720	8	0.320	1	
1650	5.820	8	0.380	1	
1750	6.340	10	0.300	1	
1850	6.540	10	0.300	1	
1950	6.680	10	0.300	1	
2050	6.820	10	0.300	1	
2150	6.960	10	0.300	1	
2250	7.340	10	0.300	1	
2350	7.880	10	0.160	1	
2450	8.120	10	0.120	1	
2550	8.240	11	0.200	1	
2650	8.520	12	0.220	1	
2750	8.620	12	0.240	1	
2850	8.840	13	0.240	1	
2950	8.940	13	0.240	1	
3050	9.080	13	0.260	1	
3150	9.100	13	0.260	1	
3250	9.140	13	0.280	1	
3350	9.140	13	0.300	1	
3450	9.240	13	0.300	1	
3550	9.240	13	0.300	1	
3650	9.260	13	0.300	1	
3750	9.260	13	0.300	1	
3850	9.300	13	0.300	1	
3950	9.400	13	0.300	1	
4050	9.440	13	0.340	1	
4150	10.220	13	0.240	1	
4250	11.000	15	0.240	1	
4350	11.500	15	0.240	1	
4450	11.760	16	0.240	1	
4550	11.960	16	0.240	1	
4650	12.320	16	0.240	1	
4750	13.360	16	0.080	1	
4850	13.740	16	0.080	1	
4950	14.060	16	0.080	1	
5050	14.220	16	0.080	1	
5150	14.440	16	0.080	1	
5250	14.680	17	0.100	1	
5350	14.880	17	0.100	1	
5450	15.100	17	0.060	1	
5550	15.160	17	0.060	1	
5650	15.220	17	0.060	1	
5750	15.220	17	0.060	1	
5850	15.220	17	0.060	1	
5950	15.220	17	0.060	1	
6050	15.220	17	0.060	1	
6150	15.220	17	0.060	1	
6250	15.220	17	0.060	1	
6350	15.220	17	0.060	1	
6450	15.220	17	0.060	1	
6550	15.220	17	0.060	1	
6650	15.220	17	0.060	1	
6750	15.220	17	0.060	1	
6850	15.220	17	0.060	1	
6950	15.220	17	0.060	1	
7050	15.220	17	0.060	1	
7150	15.280	17	0.060	1	
7250	15.280	17	0.060	1	
7350	15.280	17	0.060	1	
7450	15.280	17	0.060	1	
7550	15.280	17	0.060	1	
7650	15.280	17	0.060	1	
7750	15.280	17	0.060	1	
7850	15.280	17	0.060	1	
7950	15.280	17	0.060	1	
8050	15.280	17	0.060	1	
8150	15.280	17	0.060	1	
8250	15.280	17	0.060	1	
8350	15.280	17	0.060	1	
8450	15.280	17	0.060	1	
8550	15.280	17	0.060	1	
8650	15.280	17	0.060	1	
8750	15.280	17	0.060	1	
8850	15.280	17	0.060	1	
8950	15.280	17	0.060	1	
9050	15.280	17	0.060	1	
9150	15.280	17	0.060	1	
9250	15.280	17	0.060	1	
9350	15.280	17	0.060	1	
9450	15.280	17	0.060	1	
9550	15.280	17	0.060	1	
9650	15.280	17	0.060	1	
9750	15.280	17	0.060	1	
9850	15.280	17	0.060	1	
9950	15.280	17	0.060	1	
10050	15.280	17	0.060	1	

Run 2
150	1.680	5	0.020	1	
250	2.180	5	0.020	1	
350	2.340	5	0.020	1	
450	2.460	5	0.040	1	
550	2.820	5	0.080	1	
650	3.220	5	0.100	1	
750	3.500	7	0.200	1	
850	3.580	7	0.280	1	
950	3.800	7	0.280	1	
1050	4.080	7	0.280	1	
1150	4.460	7	0.240	1	
1250	4.860	7	0.240	1	
1350	5.240	9	0.260	1	
1450	6.060	9	0.220	1	
1550	6.000	10	0.300	1	
1650	6.980	10	0.220	1	
1750	7.180	10	0.200	1	
1850	7.660	10	0.200	1	
1950	7.920	10	0.200	1	
2050	8.740	14	0.140	1	
2150	9.000	14	0.160	1	
2250	9.580	14	0.180	1	
2350	10.020	14	0.180	1	
2450	10.260	14	0.180	1	
2550	10.280	14	0.180	1	
2650	10.360	14	0.180	1	
2750	10.360	14	0.180	1	
2850	10.380	14	0.180	1	
2950	10.380	14	0.180	1	
3050	10.380	14	0.180	1	
3150	10.380	14	0.180	1	
3250	10.380	14	0.180	1	
