Result Log

Run 1
150	2.000	3.000	4
225	2.000	3.373	5
300	2.000	3.840	5
375	2.000	4.560	5
450	2.000	4.653	5
525	2.000	4.867	5
600	2.000	4.347	5
675	2.000	4.813	5
750	2.000	4.827	5
825	2.000	4.773	5
900	2.000	4.813	5
975	2.000	4.680	5
1050	2.000	4.893	5
1125	2.000	4.627	5
1200	2.000	4.733	5
1275	2.000	4.907	5
1350	2.000	4.920	5
1425	2.000	4.760	5
1500	2.000	4.747	5
1575	2.000	4.760	5
1650	2.000	4.760	5
1725	2.000	4.560	5
1800	2.000	4.440	5
1875	2.000	4.707	5
1950	2.000	4.747	5
2025	2.000	4.840	5
2100	2.000	4.707	5
2175	2.000	4.640	5
2250	2.000	4.560	5
2325	2.000	4.720	5
2400	2.000	4.840	5
2475	2.000	4.947	5
2550	2.000	4.893	5
2625	2.000	4.787	5
2700	2.000	4.893	5
2775	2.000	4.920	5
2850	2.000	4.893	5
2925	2.000	4.853	5
3000	2.000	4.880	5
3075	2.000	5.000	5
3150	2.000	4.840	5
3225	2.000	4.667	5
3300	2.000	4.760	5
3375	2.000	4.747	5
3450	2.000	4.453	5
3525	2.000	4.933	5
3600	2.000	4.813	5
3675	2.000	4.733	5
3750	2.000	4.307	5
3825	2.000	4.933	5
3900	2.000	4.787	5
3975	2.000	4.747	5
4050	2.000	4.707	5
4125	2.000	4.813	5
4200	2.000	4.733	5
4275	2.000	4.627	5
4350	2.000	4.760	5
4425	2.000	4.707	5
4500	2.000	4.693	5
4575	2.000	4.747	5
4650	2.000	4.867	5
4725	2.000	5.000	5
4800	2.000	4.880	5
4875	2.000	4.813	5
4950	2.000	4.707	5
5025	2.000	4.413	5
5100	2.000	4.893	5
5175	2.000	4.773	5
5250	2.000	4.840	5
5325	2.000	4.733	5
5400	2.000	4.813	5
5475	2.000	4.920	5
5550	2.000	4.800	5
5625	2.000	4.707	5
5700	2.000	4.920	5
5775	2.000	4.880	5
5850	2.000	4.893	5
5925	2.000	4.533	5
6000	2.000	4.800	5
6075	2.000	4.733	5
6150	2.000	4.840	5
6225	2.000	4.467	5
6300	2.000	4.600	5
