Result Log

Run 1
150	2.920	0.120	2.827	7
225	3.067	0.120	5.360	7
300	2.987	0.121	6.600	7
375	2.920	0.120	6.747	7
450	2.973	0.116	6.933	7
525	2.973	0.117	6.640	7
600	2.973	0.115	6.960	7
675	2.947	0.115	6.880	7
750	2.920	0.114	6.867	7
825	3.000	0.118	6.467	7
900	3.027	0.115	6.533	7
975	2.933	0.113	6.680	7
1050	2.800	0.112	6.707	7
1125	2.573	0.111	6.667	7
1200	2.773	0.111	6.720	7
1275	2.973	0.109	6.667	7
1350	3.280	0.106	6.840	7
1425	3.493	0.106	6.893	7
1500	3.347	0.109	6.720	7
1575	3.520	0.108	6.520	7
1650	3.840	0.114	6.467	7
1725	3.960	0.116	6.880	7
1800	3.627	0.119	6.840	7
1875	3.787	0.120	6.653	7
1950	3.947	0.120	6.920	7
2025	3.680	0.115	6.947	7
2100	3.813	0.113	7.000	7
2175	3.733	0.107	6.840	7
2250	3.533	0.105	6.840	7
2325	3.533	0.107	6.893	7
2400	3.720	0.106	7.000	7
2475	3.667	0.102	6.907	7
2550	3.613	0.101	6.853	7
2625	3.693	0.098	6.867	7
2700	3.813	0.101	6.880	7
2775	4.053	0.100	6.920	7
2850	4.120	0.107	7.000	7
2925	4.093	0.108	7.000	7
3000	4.053	0.114	6.920	7
3075	4.000	0.112	6.733	7
3150	3.947	0.109	6.867	7
3225	3.747	0.110	6.640	9
3300	2.560	0.105	7.453	9
3375	1.573	0.108	9.000	9
3450	1.853	0.107	8.907	9
3525	1.760	0.109	8.947	9
3600	1.707	0.109	8.320	9
3675	1.733	0.108	8.880	9
3750	1.600	0.109	9.000	9
3825	1.733	0.109	9.000	9
3900	1.573	0.104	8.880	9
3975	1.733	0.103	9.000	9
4050	1.693	0.103	8.907	9
4125	1.867	0.104	8.920	9
4200	1.880	0.104	9.000	9
4275	1.547	0.101	9.000	9
4350	1.560	0.097	8.973	9
4425	1.400	0.096	8.867	9
4500	1.600	0.092	8.973	9
4575	1.907	0.090	8.933	9
4650	1.960	0.085	9.000	9
4725	1.813	0.078	9.000	9
4800	2.067	0.078	9.000	9
4875	2.160	0.080	9.000	9
4950	2.187	0.077	9.000	9
5025	2.227	0.074	9.000	9
5100	2.160	0.071	9.000	9
5175	2.307	0.069	8.907	9
5250	2.640	0.069	8.987	9
5325	2.640	0.073	9.000	9
5400	2.707	0.074	8.373	9
5475	2.760	0.076	9.000	9
5550	2.373	0.074	8.613	9
5625	2.387	0.074	9.000	9
5700	2.373	0.074	8.880	9
5775	2.627	0.074	8.773	9
5850	2.880	0.076	9.000	9
5925	2.840	0.075	8.933	9
6000	2.680	0.072	8.987	9
6075	2.707	0.071	9.000	9
6150	2.787	0.066	9.000	9
6225	2.733	0.062	9.000	9
6300	2.760	0.064	9.000	9
6375	2.653	0.058	9.000	9
6450	2.653	0.057	9.000	9
6525	2.747	0.051	9.000	9
6600	2.640	0.049	8.880	9
6675	2.813	0.046	9.000	9
6750	2.893	0.045	9.000	9
6825	2.867	0.046	8.973	9
6900	2.787	0.045	9.000	9
6975	2.867	0.043	9.000	9
7050	2.893	0.044	9.000	9
7125	3.173	0.046	8.987	9
7200	3.280	0.044	8.893	9
7275	3.200	0.049	8.680	9
7350	3.107	0.048	8.827	9
7425	3.053	0.050	8.800	9
7500	3.080	0.048	8.907	9
7575	3.027	0.043	8.773	9
7650	2.893	0.040	8.893	12
7725	2.320	0.041	10.653	12
7800	2.027	0.041	11.813	12
7875	2.040	0.040	12.000	12
7950	2.053	0.041	11.693	12
8025	2.053	0.038	11.960	12
8100	2.040	0.041	12.000	12
8175	2.107	0.040	11.920	12
8250	2.107	0.040	11.960	12
